stop,transporte
HOSPITAL DEL HENARES,metro
MANUELA MALASAÑA,metro
PRADILLO,metro
SAN FERNANDO,metro
RONDA DE LA COMUNICACION,metro
MARQUES DE LA VALDAVIA,metro
RIVAS VACIAMADRID,metro
VALDECARROS,metro
SAN NICASIO,metro
USERA,metro
SAN LORENZO,metro
URGEL,metro
PACO DE LUCIA,metro
UNIVERSIDAD REY JUAN CARLOS,metro
SANTO DOMINGO,metro
PUENTE DE VALLECAS,metro
VALDEACEDERAS,metro
RIVAS URBANIZACIONES,metro
VICALVARO,metro
VILLAVERDE ALTO,metro
